INT	STRING	STRING
18306	LDJHD_110415_06	lãnh ðßþc s½ chª thiªt b²ng
18307	LDJHD_110415_07	thu ðßþc ðá mài thß¶ng
18308	LDJHD_110415_08	thu ðßþc ðá mài ðá hoa cß½ng
18309	LDJHD_110415_09	    trÕng thái cüa ðÕi hi®p ðang trong tình trÕng mê muµi?tÕm th¶i không th¬ nh§n s½ chª thiªt b²ng?
18310	LDJHD_110415_10	    ðÆng c¤p cüa ðÕi hi®p chßa ðÕt ðªn c¤p 15?không th¬ tham gia sñ ki®n thiªt b²ng mài thành kim?
18311	LDJHD_110415_11	    trên ngß¶i ðÕi hi®p ðã có 1 cái#Ys½ chª thiªt b²ng#Wr°i?không th¬ nh§n næa?#r#Gnh¡c nhÞ?vi®c  nh§n s½ chª thiªt b¸ m²i ngày ðßþc l§p ði l§p lÕi?
18312	LDJHD_110415_12	    vui lòng trong ô#Gv§t ph¦m#Wch×a ra 1 ch± ð¬ sau này ðªn nh§n?
18313	LDJHD_110415_13	#Hthu ðßþc 1 cái s½ chª thiªt b²ng?
18314	LDJHD_110415_14	    ðÕi hi®p có th¬#Gkích bÕi 1 cái không chÕy thoát?phø bän t¥m bäo kÏ cøc và lâu lan sau khi ðßþc r½i ra t× boss#Wthu ðßþc#Yðá mài thß¶ng#W?m²i ngày có th¬ tìm ta ð¬ nh§n#G2 cái#Yðá mài thß¶ng#W?#Yðá mài thß¶ng#WsØ døng#G3 l¥n#Wsau này có th¬ biªn#Ys½ chª thiªt b²ng#Wmài thành#Ys½ chª Tú Hoa Châm#W?#r    nªu ðÕi hi®p may m¡n nh§n ðßþc#Yðá mài ðá hoa cß½ng#Wthì?có th¬ biªn#Ys½ chª thiªt b²ng#Wtrñc tiªp mài thành#YLâm Lang Tú Hoa Châm#W?#Yðá mài ðá hoa cß½ng#Wcó th¬ tÕi#Gnguyên bäo thß½ng ðiªm-siêu th¸ mua bán-tiªn hành mua bán v§t ph¦m m¾i#W?#r    nªu ðÕi hi®p có th¬ mài thành Tú Hoa Châm thì có th¬ ðªn tìm ta?#r#GNh¡c nh·?s½ chª thiªt b²ng m²i ngày ð«u ðßþc nh§n ði nh§n lÕi?
18315	LDJHD_110415_15	    trÕng thái mê muµi cüa ðÕi hi®p?tÕm th¶i không th¬ nh§n#Yðá mài thß¶ng#W?
18316	LDJHD_110415_16	    hôm nay ðÕi hi®p ðã nh§n qua 1 l¥n?không th¬ nh§n næa?#Yðá mài thß¶ng#Wcó th¬ #Gkích bÕi không 1 cái nào chÕy thoát?phø bãn t¥m bäo kÏ cøc và lâu lan sau khi ðßþc r½i ra t× boss#Wthu ðßþc?
18317	LDJHD_110415_17	    t£ng ðÕi hi®p#G2 cái#Yðá mài thß¶ng#W?Khi trên ngß¶i ðÕi hi®p có#Ys½ chª thiªt b²ng#Wlúc ðó có th¬ sØ døng?#Yðá mài thß¶ng#Wcó th¬ dùng ð¬ mài luy®n#Ys½ chª thiªt b²ng#W?thành công sØ døng#G3 l¥n#Wsau này có th¬ biªn s½ chª thiªt b²ng mài thành#Ys½ chª Tú Hoa Châm#W?#Yðá mài thß¶ng#Wcó th¬#Gkích bÕi không 1 cái nào thoát?phø bän t¥m bäo kÏ cøc và lâu lan sau khi ðßþc r½i ra t× boss?#r    nªu ðÕi hi®p mài ra thành tú Hoa Châm?thì tìm ta ð¬ ð±i l¤y ph¥n thß·ng?
18318	LDJHD_110415_18	    sØ døng#Yðá mài ðá hoa cß½ng#Wcó th¬ biªn#Ys½ chª thiªt b²ng#Wtrñc tiªp mài thành#Ylâm Lang Tú Hoa Châm#W?Trong th¶i gian sñ ki®n có th¬ tìm ta ð¬ nh§n#Ys½ chª thiªt b²ng#W?có th¬ có th¬ tÕi#Gnguyên bäo thß½ng ðiªm-siêu th¸ mua bán-mua bán v§t ph¦m m¾i#Wmua ðßþc#Yðá mài ðá hoa cß½ng#W?#r    nªu ðÕi hi®p thông qua khäo nghi®m này?mài luy®n thành#YLâm Lang Tú Hoa Châm#Wthì?lão phu s¨ không do dñ#Ytrân thú?Man ThÕch Quái#Wt£ng?
18319	LDJHD_110415_19	mua bán ðá mài ðá hoa cß½ng
18320	LDJHD_110415_20	    ðÕi hi®p ðang trong trÕng thái mê muµi?tÕm th¶i không th¬ s× døng ðá mài?
18321	LDJHD_110415_21	#Hv§t ph¦m ðã khóa?không th¬ sØ døng?
18322	LDJHD_110415_22	#Hhôm nay bÕn ðã sØ døng 10 l¥n ðá mài thß¶ng?ðã t§n hªt sÑc lñc?c¥n phäi nghî ng½i?ngày mai hãy tiªp tøc?
18323	LDJHD_110415_23	#Hxin l²i?trên ngß¶i cüa bÕn không có s½ chª thiªt b²ng?Ðªn Tô Châu tìm?124,113?Châu Ðôn Di ð¬ nh§n?
18324	LDJHD_110415_24	#Htrong ô nguyên li®u ch×a ra 1 ch± tr¯ng r°i hãy tiªp tøc s½ chª thiªt b²ng?
18325	LDJHD_110415_25	#Hthành công sØ døng ðá mài thß¶ng?Thiªt b²ng xem ra mài có vë tinh mï?c¥n phäi n± lñc thêm nØa??
18326	LDJHD_110415_26	#Hthành công sØ døng ðá mài thß¶ng?Thông qua n± lñc mài luy®n?cu¯i cùng ðã biªn thiªt b²ng thành Tú Hoa Châm?
18327	LDJHD_110415_27	#Hthông qua nhæng n± lñc?cu¯i cùng ðã thành công biªn 1 thiªt b²ng thành 1 Lâm Lang Tú Hoa Châm?
18328	LDJHD_110415_28	#Hmài luy®n thiªt b²ng c¥n phäi có ðá mài?Ðá mài có th¬ kích bÕi?phø bän t¥m bäo kÏ cøc và lâu lan sau khi ðßþc r½i ra t× boss?ho£c mua bán trong nguyên bäo thßþng ðiªm?
18329	LDJHD_110415_29	    nªu ðÕi hi®p thông qua cuµc khäo nghi®m này?thì có th¬ tìm ta dùng Tú Hoa Châm ð¬ ð¯i l¤y ph¥n thß·ng?Tú Hoa Châm có th¬ tÕi#Ythiªt b²ng mài thành kim#WlÕnh ðßþc?
18330	LDJHD_110415_30	hoán ð±i pháo hoa?Tình yêu n°ng nàn
18331	LDJHD_110415_31	hoán ð±i kim ðan h° lô
18332	LDJHD_110415_32	Hoán ð±i danh hi®u?chï c¥n công phu thâm h§u
18333	LDJHD_110415_33	hoán ð±i trÑng trân thú?Man ThÕch Quái
18334	LDJHD_110415_34	    hoán ð±i#Ypháo hoa?Tình yêu n°ng nàn#Wc¥n tiêu hao#G2 cái#Ys½ chª Tú Hoa Châm#W?#r    xác ð¸nh hoán ð±i?
18335	LDJHD_110415_35	#HbÕn ðang trong trÕng thái mê muµi?không th¬ tiªn hành hoán ð±i?
18336	LDJHD_110415_36	xin l²i?s¯ lßþng s½ chª Tú Hoa Châm không ðü ho£c ðã bi khóa?không th¬ tiªn hành hoán ð±i?
18337	LDJHD_110415_37	#Hhoán ð±i thành công lãnh ðßþc 1 pháo bông?Tình yêu n°ng nàn?
18338	LDJHD_110415_38	    hoán ð±i#Ykim ðan h° lô#Wc¥n tiêu hoa#G12 cái#Ys½ chª Tú Hoa Châm#W?#r    xác ð¸nh hoán ð±i?
18339	LDJHD_110415_39	    xin l²i?vui lòng trong#Gô ðÕo cø#Wch×a ra 1 ch² tr¯ng ð¬ tiªn hành hoán ð±i?
18340	LDJHD_110415_40	#Hhoán ð±i thành công lãnh ðßþc 1 kim ðan h° lô?
18341	LDJHD_110415_41	    hoán ð±i?#Ydanh hi®u?chï c¥n công phu thâm h§u#W?c¥n tiêu hao#G20 cái#Ys½ chª Tú Hoa Châm#W?#r    xác ð¸nh hoán ð±i?
18342	LDJHD_110415_42	    bÕn ðã hoán ð±i qua danh hi®u này?không c¥n l§p lÕi hoán ð±i?
18343	LDJHD_110415_43	#Hthành công hoán ð±i lãnh ðßþc danh hi®u?chï c¥n công phu thâm h§u?
18344	LDJHD_110415_44	    hoán ð±i#YtrÑng trân thú?Man ThÕch Quái#Wc¥n tiêu hao#G5 cái#Ylâm Lang Tú Hoa Châm#W?#r    #Ghoán ð±i thành công sau này có th¬ t× trÑng trân thú thu ðßþc 1 con Man ThÕch quái bäo gi¾i tính ngçu nhiên?#W#r    hãy lña ch÷n 1 loÕi mà bÕn c¥n hoán ð±i?
18345	LDJHD_110415_45	Hoán ð±i trÑng trân thú c¤p 5?Man ThÕch Quái
18346	LDJHD_110415_46	Hoán ð±i trÑng trân thú c¤p 45?Man ThÕch Quái
18347	LDJHD_110415_47	Hoán ð±i c¤p trßng thú c¤p 55?Man ThÕch Quái
18348	LDJHD_110415_48	Hoán ð±i trÑng trân thú c¤p 65?Man ThÕch Quái
18349	LDJHD_110415_49	Hoán ð±i trÑng trân thú c¤p 75?Man ThÕch Quái
18350	LDJHD_110415_50	Hoán ð±i trÑng trân thú c¤p 85?Man ThÕch Quái
18351	LDJHD_110415_51	#Hthành công hoán ð±i thu ðßþc trÑng trân thú?Man ThÕch Quái?
18352	LDJHD_110415_52	#Pchï c¥n công phu thâm h§u?Thiªt B²ng Mài Thanh Kim?#{_INFOUSR%s0}thành công hoàn thành#GTô Châu?124,113?#Ychâu Ðôn Di#Pkhäo nghi®m?biªn#Gs½ chª thiªt b²ng#Pmài thành#GLâm Lang Tú Hoa Châm#P?#Ychâu Ðôn Di#Pkhông th¬ c¥m lòng ca ngþi và ðßa ra 1 cái#{_INFOMSG%s1}#Pð£t trên#{_INFOUSR%s2}tay?
18353	LDJHD_110415_53	    chï c¥n công phu thâm h§u?thiªt b²ng mài thành kim?· ðây lão phu có 1 mµt#Ys½ chª thiªt b²ng#W?$NðÕi hi®p có th¬ sØ døng ðá mài ð¬ mài luy®n nó?nªu ðÕi hi®p vßþt qua ðßþc cuµc thØ thÕch cüa lão phu?mài nó thành 1 cây châm thßþng hão?lão phu s¨ không bÕt ðãi ngß½i?#r    ?Nh¡c nhÞ?nªu ðÕi hi®p sØ døng#Yðá mài ðá hoa cß½ng#Wbiªn#Ys½ chª thiªt b²ng#Wmài thành#YLâm Lang Tú Hoa Châm thßþng hão#Wthì?#RChâu Ðôn Di#Ws¨ không do dñ#YtrÑng trân thú?Man Thach Quái#Wt£ng cho ðÕi hi®p?#Gðá mài ðá hoa cß½ng có trong nguyên bäo thß½ng ðiªm-Siêu thi mua bán-tiªn hành mua bán v§t ph¦m m¾i#W??
18354	LDJHD_110415_54	xin l²i?s¯ lßþng Lâm Lang Tú Hoa Châm trên ngß¶i cüa bÕn không ðü ho£c ðã b¸ khóa?không th¬ tiªn hành hoán ð±i?
18355	LDJHD_110415_55	hoán ð±i bình càn khôn
18356	LDJHD_110415_56	    hoán ð±i#Ybình càn khôn#Wc¥n tiêu hao#G8 cái#Ys½ chª Tú Hoa Châm#W?#r    xác ð¸nh hoán ð±i?
18357	LDJHD_110415_57	thành công hoán ð±i thu ðßþc 1 cái bình càn khôn?
18358	LDJHD_110415_58	#Hhãy ch×a ra 3 ô tr¯ng trong ô ðÕo cø v§t ph¦m?ð¬ tránh v§t ph¦m bi biªn m¤t khi nh§n?
18359	LDJHD_110415_59	#Pông tr¶i không phø lòng ngß¶i?#{_INFOUSR%s0}#Pvào#Gngày l­ lao ðµng-chï c¥n công phu thâm h§u?thông qua vi®c kh·i ðµng ði¬m sinh ðµng nh§n ðßþc quà#G%s1 cái bäo rß½ng#P?thu ðßþc 1 cái#{_INFOMSG%s2}#P?#W
18360	LDJHD_110415_60	#Hthu ðßþc 2 ðá mài thß¶ng
18361	LDJHD_110415_61	#Hthành công lãnh ðá mài thß¶ng?
18362	LDJHD_110415_62	#Hthành công lãnh ðá mài ðá hoa cß½ng?
18363	LDJHD_110415_63	ði¬m sinh ðµng lãnh quà bäo rß½ng
18364	LDJHD_110415_64	#Pông tr¶i không phø lòng ngß¶i?#{_INFOUSR%s0}#Pvào l­ lao ðµng-chï c¥n công phu thâm h§u?thông qua vi®c kh·i ðµng ði¬m sinh hoÕt nh§n ðßþc BÕch Ngân bäo rß½ng?lãnh ðßþc 1 cái#{_INFOMSG%s1}#P?
18365	LDJHD_110415_65	#Pông tr¶i không phø lòng ngß¶i?#{_INFOUSR%s0}#Pvào l­ lao ðµng-chï c¥n công phu thâm h§u?thông qua vi®c kh·i ðµng ði¬m sinh hoÕt nh§n ðßþc Hoàng Kim bäo rß½ng?lãnh ðßþc 1 cái#{_INFOMSG%s1}#P?
18366	LDJHD_110415_66	#Pông tr¶i không phø lòng ngß¶i?#{_INFOUSR%s0}#Pvào ngày l¬ lao ðµng-chï c¥n công phu thâm h§u?thông qua vi®c kh·i ðµng ði¬m sinh ðµng nh§n ðßþc Phï Thúy bäo rß½ng?lãnh ðßþc 1 cái#{_INFOMSG%s1}#P?
18367	HYHL_101230_01	Nh§n ph¥n thß·ng ðµ hoÕt ðµng
18368	H1N1_090718_1	TÕi ðây t§t b®nh tàn sát b×a bãi trong cuµc s¯ng, làm cho chúng ta vÕn chúng ð°ng tâm, d¡t tay ð¯i kháng ma b®nh xâm nh§p, vì cuµc s¯ng t¯t ð©p mà chiªn ð¤u! ÐÕt c¤p 30 tr· lên anh hùng ð«u có th¬ ðªn ÐÕi Lý [172,147] Tôn Bát Gia tham gia hoÕt ðµng CÑu Trþ Ái Tâm, c¯ng hiªn chính mình mµt ph¥n lñc lßþng, làm cho chúng ta khöe mÕnh! HÕnh phúc dài hß·ng!
18369	H1N1_090718_2	TÕi ðây t§t b®nh tàn sát b×a bãi trong cuµc s¯ng, làm cho chúng ta vÕn chúng ð°ng tâm, d¡t tay ð¯i kháng ma b®nh xâm nh§p, vì t¯t ð©p cuµc s¯ng mà chiªn ð¤u!#r Tham gia hoÕt ðµng CÑu Trþ Ái Tâm c¥n #YXích TØ Ái Tâm #Wcùng #YBí Chª Lß½ng Dßþc#W.#r #YXích TØ Ái Tâm #Wcó th¬ · #GTrân Long Kì Cuµc#W, #GLâu Lan T¥m Bäo#W, #GT£c Binh Xâm Nh§p #Wcùng #GÐánh Lén Môn Phái #WðÕt ðßþc. #YBí Chª Lß½ng Dßþc #Wcó th¬ · #GKhiêu chiªn Phiªu Mi¬u Phong #Wcùng #GKhiêu chiªn Yªn TØ ‘ #WðÕt ðßþc, cûng có th¬ · #GNguyên bäo cØa hàng #Wmua.#rTham gia hoÕt ðµng CÑu Trþ Ái Tâm có khä nång ðÕt ðßþc lßþng l¾n #Gkinh nghi®m#W, #Gti«n tài #Who£c #YNgû hành l®nh bài#W.
18370	H1N1_090718_3	Duy®t
18371	H1N1_090718_4	HuÖ
18372	H1N1_090718_5	Ngß½i còn chßa ðÕt t¾i c¤p 30. Sau khi ðÕt t¾i c¤p 30 lÕi ðªn.
18373	H1N1_090718_6	HoÕt ðµng CÑu Trþ Ái Tâm m²i ngày chï có th¬ tham gia 4 l¥n, thïnh ngày mai tr· lÕi.
18374	H1N1_090718_7	Ngß½i c¥n ð°ng th¶i có ðßþc #YXích TØ Ái Tâm #Wcùng #YBí Chª Lß½ng Dßþc#W.#r #YXích TØ Ái Tâm #Wcó th¬ · #GTrân Long Kì Cuµc#W, #GLâu Lan T¥m Bäo#W, #GT£c Binh Xâm Nh§p #Wcùng #GÐánh Lén Môn Phái #WðÕt ðßþc. #YBí Chª Lß½ng Dßþc #Wcó th¬ · #GKhiêu chiªn Phiªu Mi¬u Phong #Wcùng #GKhiêu chiªn Yªn TØ ‘ #WðÕt ðßþc, cûng có th¬ · #GNguyên bäo cØa hàng #Wmua.#rTham gia hoÕt ðµng CÑu Trþ Ái Tâm có khä nång ðÕt ðßþc lßþng l¾n #Gkinh nghi®m#W, #Gti«n tài #Who£c #YNgû hành l®nh bài#W.
18375	H1N1_090718_8	Tay näi không ðü, c¥n ít nh¤t 1 ch± tr¯ng.
18376	H1N1_090718_9	Ngß½ia nh§n ðßþc 
18377	H1N1_090718_10	#PÐÕi hi®p vô tß kính dâng ra #YXích TØ Ái Tâm #Pcùng #YBí Chª Lß½ng Dßþc#P,#G ÐÕi Lý [172,147]#YTôn Bát Gia #Pcäm ðµng, t£ng cho 
18378	H1N1_090718_11	#P, n± lñc Ái tâm quä nhiên ðÕt ðßþc h°i báo!
18379	H1N1_090718_12	TÕi ðây t§t b®nh tàn sát b×a bãi trong cuµc s¯ng, làm cho chúng ta vÕn chúng ð°ng tâm, d¡t tay ð¯i kháng ma b®nh xâm nh§p, vì t¯t ð©p cuµc s¯ng mà chiªn ð¤u! Ngß¶i ch½i #GÐÕt c¤p 30 #Wð«u có th¬ tham gia hoÕt ðµng #GCÑu trþ ái tâm#W, c¯ng hiªn chính mình mµt ph¥n sÑc lñc, làm cho chúng ta khöe mÕnh! HÕnh phúc dài hß·ng! #rTham gia hoÕt ðµng CÑu trþ ái tâm c¥n #YXích TØ Ái Tâm #W cùng #YBí Chª Lß½ng Dßþc#W. #YXích TØ Ái Tâm #Wcó th¬ thông qua các hoÕt ðµng: #GTrân Long Kì Cuµc#W, #GLâu Lan t¥m bäo#W, #GT£c binh xâm nh§p#W, #GÐánh lén môn phái#W. #YBí Chª Lß½ng Dßþc#W · #GKhiêu chiªn Phiªu Mi¬u Phong#W cùng #GKhiêu chiªn Yªn TØ ‘ #Wð«u có th¬ ðÕt ðßþc, cûng có th¬ trñc tiªp mua · #GNguyên bäo thß½ng ðiªm#W.#r Ðß½ng nhiên, tham gia hoÕt ðµng CÑu trþ ái tâm cûng nh§n ðßþc ph¥n thß·ng. Ngß½i có khä nång ðÕt ðßþc lßþng l¾n #GKinh nghi®m#W, #GTi«n tài #Who£c #YNgû hành l®nh bài#W. #YNgû hành l®nh bài phân ra #GKim#W, #GMµc#W, #GThüy#W, #GHöa#W, #GTh± #Wnåm loÕi, t§p hþp ðü 5 loÕi l®nh bài, có th¬ ðªn #GTô Châu [170,138] Lß½ng Sß Thành ð±i tuy®t thª trân bäo #YTrùng lâu ng÷c#W.
18380	H1N1_090718_13	Kim mµc thüy höa th±, là ngû hành. Nªu hµi tø ðü ngû hành, li«n khä phúc trÕch thiên hÕ.#rTa chßa k¸p thu th§p ðü #YNgû hành l®nh bài#W, nªu là ngß½i mang ðªn #YNgû hành l®nh bài#W, ta s¨ l¤y #YTrùng Lâu Ng÷c #Wcùng ngß½i trao ð±i.#r#YNgû hành l®nh bài #Wbao g°m #YNgû hành l®nh bài [Kim ]#W, #YNgû hành l®nh bài [Mµc]#W, #YNgû hành l®nh bài [Thüy]#W, #YNgû hành l®nh bài [Höa]#W, #YNgû hành l®nh bài [Th±]#W.
18381	H1N1_090718_14	Ð±i #YTrùng Lâu Ng÷c #Wc¥n #Gnåm mänh #YNgû hành l®nh bài#W, t§p hþp ðü #Gnåm mänh #YNgû hành l®nh bài #W r°i ðªn tìm ta.
18382	H1N1_090718_15	Ô #GÐÕo cø #Wc¥n mµt ch± tr¯ng, nªu không ta #Gkhông th¬ #Wðem #YTrùng Lâu Ng÷c #Wcho ngß½i.
18383	H1N1_090718_16	Cäm tÕ ngß½i vì tri«u ðình c¯ng hiªn, ðây #YTr÷ng Lâu Ng÷c #W là báo ðáp ngß½i.
18384	H1N1_090718_17	Nh§n ðßþc v§t ph¦m: Trùng Lâu Ng÷c
18385	H1N1_090718_18	#P thu th§p toàn bµ #Gnåm mänh #YNgû hành l®nh bài#P, · #GTô Châu [170,138]#Y Lß½ng Sß Thành #P ch² ð±i th¥n khí 
18386	H1N1_090718_19	#P!
18387	H1N1_090718_20	Kim mµc thüy höa th±, là ngû hành. Nªu hµi tø ðü ngû hành, li«n khä phúc trÕch thiên hÕ.#rTa chßa k¸p thu th§p ðü #YNgû hành l®nh bài#W, nªu là ngß½i mang ðªn #YNgû hành l®nh bài#W, ta s¨ l¤y #YTrùng Lâu Ng÷c #Wcùng ngß½i trao ð±i.#r#YNgû hành l®nh bài #Wbao g°m #YNgû hành l®nh bài [Kim ]#W, #YNgû hành l®nh bài [Mµc]#W, #YNgû hành l®nh bài [Thüy]#W, #YNgû hành l®nh bài [Höa]#W, #YNgû hành l®nh bài [Th±]#W. #rÐªn #GÐÕi Lý [172,147]#R Tôn Bát Gia #Wtham gia hoÕt ðµng #GCÑu trþ Ái tâm#W, s¨ có tÖ l® nh§n ðßþc các loÕi #YNgû hành l®nh bài#W.
18388	H1N1_090718_21	HoÕt ðµng CÑu Trþ Ái Tâm
18389	H1N1_090718_22	Liên quan HoÕt ðµng CÑu Trþ Ái Tâm
18390	H1N1_090718_23	#GNgû hành th¥n lñc
18391	H1N1_090718_24	#GGi¾i thi®u Ngû hành th¥n lñc
18392	LW_KVK_110704_01	Tång c¤p trß·ng thành Long Vån
18393	LW_KVK_110704_02	Tång c¤p sao Long Vån
18394	LW_KVK_110704_03	T¦y lÕi thuµc tính Long Vån
18395	LW_KVK_110704_04	H÷c thuµc tính phát tri¬n Long Vån
18396	LW_KVK_110704_05	Tång c¤p thuµc tính phát tri¬n Long Vån
18397	LW_KVK_110704_06	Gi¾i thi®u v« Long Vån
18398	LW_KVK_110704_07	#Hn½i này chï có th¬ thä Long Vån.
18399	LW_KVK_110704_08	#Hlong Vån này ðã ðÕt c¤p trß¶ng thành cao nh¤t, không th¬ tång tiªp.
18400	LW_KVK_110704_09	#Hc¤p Trß·ng thành Long Vån ðßþc tång nhö h½n LB trß·ng thành cüa Long Vån tham gia tång, không th¬ ðßa vào.
18401	LW_KVK_110704_10	#H Long Vån b¸ khóa không th¬ làm nguyên li®u Long Vån.
18402	LW_KVK_110704_100	#cfff263Hi®n tÕi l¥n thÑ#G%s0#cfff263 nh§n Câu Thiên Thäi trung ho£c cao c¤p, c¥n t¯n#G%s1#cfff263 Ði¬m C¯ng Hiªn, có xác nh§n không?
18403	LW_KVK_110704_101	#Hngß½i chßa ðü ði¬m C¯ng Hiªn Thª Tµc, không th¬ nh§n!
18404	LW_KVK_110704_102	#H Cµt nguyên li®u trong hành nang các hÕ ðã ð¥y, hãy ch×a ít nh¤t mµt ch² tr¯ng cµt nguyên li®u.
18405	LW_KVK_110704_103	#HNh§n Câu Thiên Thäi trung (cao)c¤p thành công!
18406	LW_KVK_110704_104	#YV« Câu Thiên Thái: #W#r #r#cfabf8fTác døng cüa Câu Thiên Thái:#W#r    Câu Thiên Thái là nguyên li®u quan tr÷ng trong vi®c #Gnâng c¤p Sao cüa Long Vån#W:#r    #YCâu Thiên Thái s½ c¤p#W dùng cho Long Vån #G5 Sao lên 6 Sao#W;#r    #YCâu Thiên Thái trung c¤p#W dùng cho Long Vån #G5 Sao lên 6 Sao#W và #G6 Sao lên 7 Sao#W;#r    #YCâu Thiên Thái cao c¤p#W dùng cho Long Vån #G5 Sao lên 6 Sao#W, #G6 Sao lên 7 Sao#W, #G7 Sao lên 8 Sao#W.#r    #YHuy­n S¡c Câu Thiên Thái#W dùng cho Long Vån #G8 Sao lên 9 Sao#W.#r    Trong quá trình nâng c¤p Sao, khi s¯ lßþng Câu Thiên Thái c¤p th¤p h½n không ðü, có th¬ dùng #GCâu Thiên Thái cao c¤p h½n ð¬ thay thª#W.#r    #GChú ý: Huy­n S¡c Câu Thiên Thái chï dùng khi nâng t× 8 Sao lên 9 Sao, không th¬ thay thª các Câu Thiên Thái c¤p th¤p.#W#r #r#cfabf8fNh§n Câu Thiên Thái:#W#r #r    #YCâu Thiên Thái s½ c¤p#W: ngß¶i ch½i trong thành trì, m²i ngày có th¬ #Gnh§n mi­n phí 1 #YCâu Thiên Thái s½ c¤p#W.#r    #YCâu Thiên Thái cao c¤p, Câu Thiên Thái trung c¤p#W: #GTµc Vß½ng#W ho£c #GTrß·ng Lão#W có th¬ ð±i l¤y #YCâu Thiên Thái#W b¢ng cách tiêu hao #YTh¤t Thái Huy«n Tinh#W, m²i Câu Thiên Thái c¥n #G40#W Huy«n Tinh.#r    Thành trì #Gc¤p 3#W, #Gc¤p 4#W, m²i ngày có th¬ ð±i #YCâu Thiên Thái trung c¤p#W b¢ng #GÐi¬m C¯ng Hiªn#W;#r    Thành trì #Gc¤p 5#W, m²i ngày có th¬ ð¬ ð±i #YCâu Thiên Thái cao c¤p#W b¢ng #GÐi¬m C¯ng Hiªn#W.#r    M²i ngày có th¬ nh§n t¯i ða #G5#W #YCâu Thiên Thái cao c¤p và Câu Thiên Thái trung c¤p#W, Ði¬m C¯ng Hiªn c¥n trong l¥n sau là #Gg¤p ðôi#W l¥n trß¾c, #Gtiêu hao l¥n ð¥u nh§n#W do #GTµc Vß½ng#W ho£c #GTrß·ng Lão#W quyªt ð¸nh.#r    Ngoài ra, trong th¶i gian hoÕt ðµng #YBá Giä Thiên HÕ#W, nªu c¤p thành trì ðÕt #Gc¤p 3#W ho£c #Gc¤p 3 tr· lên#W, #Gsau khi thü thành thành công#W, chï c¥n #RQuan Äi Thü Tß¾ng#W ho£c #GTß¾ng Thü Thành#W còn #Gt°n tÕi#W, s¯ lßþng #YCâu Thiên Thái#W trong thành s¨ #Gtång thêm#W: m²i #RQuan Äi Thü Tß¾ng#W t°n tÕi s¨ tång thêm #G5  #YCâu Thiên Thái#W; #RTß¾ng Thü Thành#W t°n tÕi tång thêm #G10 #YCâu Thiên Thái#W.
18407	LW_KVK_110704_11	#Hc¤p trß·ng thành cüa Long Vån tham gia cao h½n c¤p trß·ng thành cüa Long Vån, không th¬ ðßa vào.
18408	LW_KVK_110704_12	#Hc¤p trß·ng thành cüa Long Vån tham gia tång cao h½n c¤p trß·ng thành cüa Long Vån ðßþc tång, không th¬ thñc hi®n tiªp.
18409	LW_KVK_110704_13	#HXin l²i, các hÕ không ðü ti«n, không th¬ thñc hi®n tiªp.
18410	LW_KVK_110704_14	#HChúc m×ng, ði¬m trß·ng thành Long Vån+1, nguyên li®u Long Vån biªn m¤t.
18411	LW_KVK_110704_15	#HChúc m×ng, ði¬m trß·ng thành Long Vån+5, nguyên li®u Long Vån và nguyên li®u Chú Vån ð£c bi®t b¸ m¤t.
18412	LW_KVK_110704_16	#H Long Vån thêm thuµc tính m¾i!
18413	LW_KVK_110704_17	#HLong Vån này ðã ðÕt c¤p Sao cao nh¤t là 9 Sao, không th¬ tiªp tøc nâng.
18414	LW_KVK_110704_18	#HXin l²i, ngß½i chßa vào Thª Tµc chiªm lînh Thành Th¸ này, không th¬ thñc hi®n tiªp.
18415	LW_KVK_110704_19	#HXin l²i, Thª Tµc cüa các hÕ chßa ðü lßþng Thành Th¸ chiªm lînh, không th¬ thñc hi®n tiªp.
18416	LW_KVK_110704_20	#HXin l²i, Thª Tµc cüa các hÕ chiªm lînh s¯ Thành Th¸ không ðÕt c¤p 5, không th¬ thñc hi®n tiªp.
18417	LW_KVK_110704_21	#Hlßþng nguyên li®u ngß½i mang theo không ðü, có 1 ph¥n ðã b¸ khóa.
18418	LW_KVK_110704_22	#HTång c¤p sao Long Vån thành công!
18419	LW_KVK_110704_23	#Hlßþng nguyên li®u ngß½i mang theo không ðü, có 1 ph¥n ðã b¸ khóa.
18420	LW_KVK_110704_24	#HXin l²i, các hÕ không ðü ti«n, không th¬ thñc hi®n tiªp.
18421	LW_KVK_110704_25	#Ht¦y lÕi thuµc tính Long Vån thuµc tính!
18422	LW_KVK_110704_26	    Thª Tµc mà các hÕ tham gia#Gchßa chiªm l¸nh#WThành Th¸ này, không th¬ làm các thao tác liên quan!
18423	LW_KVK_110704_27	#HXin l²i, Long Vån ðã h÷c thuµc tính m· rµng mÑc máu, không c¥n h÷c næa.
18424	LW_KVK_110704_28	#Hlßþng nguyên li®u ngß½i mang theo không ðü, có 1 ph¥n ðã b¸ khóa.
18425	LW_KVK_110704_29	#Hðã h÷c thuµc tính thêm mÑc máu!
18426	LW_KVK_110704_30	#HXin l²i, Long Vån và thuµc tính m· rµng mÑc giäm kháng th¯ng nh¤t, không c¥n h÷c.
18427	LW_KVK_110704_31	#Hlßþng nguyên li®u ngß½i mang theo không ðü, có 1 ph¥n ðã b¸ khóa.
